track_name;artist_name;genre;year;explicit
Космос;Скриптонит, Charusha;rusrap;2023;True
Curb;Nickelback;alternative;1996;False
Too Fast;Jon LaJoie;foreignrap;2009;True
Too Bad;Nickelback;rock;2001;False
sniffing vicodin in paris;blackbear;rnb;2016;True
My Lover's Prayer;Bee Gees;rock;1997;False
rly real;blackbear;rnb;2016;True
HeartagramAdios;BONES;rap;2014;True
Saturn;Skillet;alternative;1996;False
Under My Skin;Skillet;alternative;2003;False
Friend Of Mine;DMX;rap;2001;True
double;blackbear;alternative;2017;True
White Dress;Kanye West;soundtrack;2013;False
Slow Motion;Nickelback;soundtrack;2014;False
Walla Walla;The Offspring;punk;1998;False
Open Wounds;Skillet;alternative;2003;False
Salvation;Skillet;alternative;2013;False
Christmas In New Orleans;Louis Armstrong, Benny Carter and his Orchestra;jazz;1958;False
The Little Things Give You Away;Linkin Park;numetal;2007;False
Pharaoh;Poe Eazy;;2023;False
Home;Nickelback;rock;2017;False
Not Coming Home;Maroon 5;rock;2002;False
Angel Kiss;SEREBRO;ruspop;2012;False
Out Of Goodbyes with Lady Antebellum;Maroon 5, Lady A;rock;2010;False
Я буду ждать;Тимати;rusrap;2010;False
LA7;Moby;electronics;2016;False
Wolves;Kanye West;foreignrap;2016;True
Feuer und Wasser;Rammstein;industrial;2005;False
My Beautiful Robe;Skillet;alternative;1996;False
Tortuga;xavier wulf;rap;2015;True
Океан;Скриптонит;rusrap;2015;True
Digital Dash;Drake, Future;foreignrap;2015;False
Оу щит;kizaru;rusrap;2016;True
Black Mambo;Glass Animals;indie;2014;False
Накануне;Oxxxymiron;rusrap;2015;True
When I Get To Heaven;Ice Cube, Q D III;rap;1994;True
Fade;Kanye West;foreignrap;2016;True
Drips;Eminem, Obie Trice;foreignrap;2002;True
プロトコル;Snoop Dogg;foreignrap;2010;True
Закрытый космос;Каста, Хамиль, Змей, Каста (Kasta), Хамиль & Змей;rusrap;2010;True
СОЗРЕЛА;Земфира;rusrock;2000;True
Не звони;Тимати;rap;2009;False
Just Another Day;Lady Gaga;pop;2016;False
Average;Money Man;foreignrap;2016;True
Где ты, где я;Тимати, ЕГОР КРИД;rusrap;2016;True
Coming Down;Skillet;alternative;1998;False
Come Back Baby;Ray Charles;jazz;1991;False
Won't Go Home Without You;Maroon 5;rock;2007;False
Crazy;Snoop Dogg, Nate Dogg;foreignrap;2006;True
Praise You;Fatboy Slim;soundtrack;2011;False
Deeper;Skillet;alternative;1998;False
Get Down Instrumental (Get Down (Produced by Kero One);Aloe Blacc;soul;2009;False
The Bidness;Snoop Dogg;foreignrap;2004;True
I'm Threw Witchu;Snoop Dogg, Soopafly;foreignrap;2004;True
My Summer Vacation;Ice Cube;rap;2003;True
House of Gold;twenty one pilots;indie;2013;False
Summer Sixteen;Drake;foreignrap;2016;True
Dear Boy;Avicii;edmgenre;2013;False
Do This Anymore;Nickelback;rock;2003;False
Santa Cruz;Fatboy Slim;dance;2002;False
Splinter;Skillet;alternative;1996;False
WhateverYouDoDontLookHimInTheEyes;BONES;rap;2015;True
You Take My Rights Away;Skillet;alternative;2000;False
Tiptoe;Imagine Dragons;rock;2012;False
Shelf;Jonas Brothers;pop;2008;False
Frankenstein;DMX;rap;2012;False
One Man Show;Jonas Brothers;pop;2008;False
Final Masquerade;Linkin Park;numetal;2014;False
Race Against Myself;The Offspring;punk;2003;False
Year 3000;Jonas Brothers;pop;2021;False
Не вынести;ЕГОР КРИД;ruspop;2015;False
